"Timestamp","Customer: I bought one of your surf boards last week and have unfortunately severely dented it already. Is there any way you can cover the repair cost? I'm not sure if I purchased a warranty or not. I have the receipt handy (transaction #123456789). Thanks!"
"2017/08/28 2:47:06 PM CDT","Thank you for contacting us.  Unfortunately, you did not purchase the warranty.  However, we will happily cover the cost of this repair for you.  If you would like to make sure you have coverage for anything in the future, let me know so we can get you signed up for a warranty."
"2017/08/28 3:05:21 PM CDT","Good news Customer One!

I checked in our system and although you did not purchase a warranty plan
last week, we want to offer you a complementary repair since your board is
so new. You can drop the board off at our shop anytime this week and we will
get it back to you as soon as possible.

Thank you for writing us and have a nice day"
"2017/08/29 2:27:43 PM CDT","Hello- We're sorry to hear that your board has been dented. We will be happy to cover the repair cost, even though you did not purchase a warranty. Please feel free to bring the board to our workshop and we will repair it at no cost to you. Thanks!"
"2017/08/31 11:16:23 AM CDT","Hi, 
We are very sorry to hear that you damaged your surfboard. We would love to help out with the repair of your surfboard. Please see attached form to have the work done.
Thanks,
Surfboard Co."
"2017/08/31 11:05:44 PM CDT","I am very sorry to hear about the damage to your board. Although you did not chose to purchase the warranty, your loyalty is important to us and we will cover the cost of repairs. Thank you for providing the transaction number. Please bring your board to the shop any day during business hours and a representative will help you. "
"2017/09/02 1:18:03 PM CDT","We are so sorry to hear about your board - luckily, you won't have to pay for a thing! Despite not purchasing the warranty, we will get you back out on the water free of cost. Come on into the shop and speak to Jeff the manager and we will get you all patched up. "
"2017/09/02 1:48:01 PM CDT","Thank you reaching out to us. Broken boards are never fun, which is why we are choosing to cover the cost of repairs! In the future we definitely recommend purchasing a warranty so we can guarantee free repairs. As a valued new customer however, we would like get your board back to normal for no additional cost. "
"2017/09/02 4:11:00 PM CDT","Hi customer, thank you for your patience. I am sorry to hear you've had bad luck with your board! It should assure you to know that we intend to cover the cost of repairs. Your business means a lot to us and we want to help get you back out in the swell. We hope that you will share your thoughts on our business to other who may be interested."
"2017/09/02 7:16:29 PM CDT","Valued customer, I am so sorry to hear about your board. We are more than happy to do everything we can to help you get back to surfing. Stop by the shop any day this week and a staff member will be delighted to provide quality and timely repairs to your new board. If there is anything else I can do, please contact me directly. I hope this meets your expectations. Have a great day and see you soon. "
